index,dataset,n_base,dim,k,recall,p50_ms,p95_ms,qps,build_s,memory_mb,dist_comps,params
pq,simplewiki_a25000_w100,97579,384,10,0.2054,1.7044999985955656,2.029204470454715,586.3733092540989,2.7511281250044703,1.173848,97579.0,m=8 rerank=0
pq,simplewiki_a25000_w100,97579,384,10,0.5944,1.7451249877922237,2.02535834396258,579.8870506054618,2.7511281250044703,151.055192,97679.0,m=8 rerank=100
pq,simplewiki_a25000_w100,97579,384,10,0.4056,2.7890414639841765,3.6426583450520402,343.98943261238,4.335742124996614,1.95448,97579.0,m=16 rerank=0
pq,simplewiki_a25000_w100,97579,384,10,0.8211,2.689479006221518,3.1593291350873183,370.6903516763322,4.335742124996614,151.835824,97679.0,m=16 rerank=100
pq,simplewiki_a25000_w100,97579,384,10,0.6124,4.450041509699076,4.9423184216720975,223.25233940137807,7.1637514579924755,3.515744,97579.0,m=32 rerank=0
pq,simplewiki_a25000_w100,97579,384,10,0.9596,4.505020478973165,5.022237496450543,221.6686715166855,7.1637514579924755,153.397088,97679.0,m=32 rerank=100
pq,simplewiki_a25000_w100,97579,384,10,0.7072,6.248354504350573,6.72800655302126,159.7551490801553,9.896043082990218,5.077008,97579.0,m=48 rerank=0
pq,simplewiki_a25000_w100,97579,384,10,0.9907,6.254458479816094,6.741906888782977,159.48339222804404,9.896043082990218,154.958352,97679.0,m=48 rerank=100
