index,dataset,n_base,dim,k,recall,p50_ms,p95_ms,qps,build_s,memory_mb,dist_comps,params
ivf,simplewiki_a25000_w100,97579,384,10,0.5319,0.032957992516458035,0.04383508639875799,29410.61123520165,11.365485832968261,152.24304,1138.839,nlist=1024 nprobe=1
ivf,simplewiki_a25000_w100,97579,384,10,0.6726,0.04243748844601214,0.05981280701234935,22711.07191998065,11.365485832968261,152.24304,1253.084,nlist=1024 nprobe=2
ivf,simplewiki_a25000_w100,97579,384,10,0.7888,0.0620625214651227,0.08965416345745322,15408.801301123349,11.365485832968261,152.24304,1482.733,nlist=1024 nprobe=4
ivf,simplewiki_a25000_w100,97579,384,10,0.8707,0.09297949145548046,0.14909763121977448,10044.644460343297,11.365485832968261,152.24304,1933.413,nlist=1024 nprobe=8
ivf,simplewiki_a25000_w100,97579,384,10,0.9256,0.16064548981375992,0.2872520766686648,5538.57828168899,11.365485832968261,152.24304,2818.558,nlist=1024 nprobe=16
ivf,simplewiki_a25000_w100,97579,384,10,0.9585,0.30314596369862556,0.5256826931145042,2955.9057095663684,11.365485832968261,152.24304,4589.301,nlist=1024 nprobe=32
ivf,simplewiki_a25000_w100,97579,384,10,0.9791,0.5281459889374673,1.155271448078565,1570.7270404815342,11.365485832968261,152.24304,7932.185,nlist=1024 nprobe=64
ivf,simplewiki_a25000_w100,97579,384,10,0.9911,1.1812504963018,1.6133104538312182,810.8089694647483,11.365485832968261,152.24304,14279.138,nlist=1024 nprobe=128
ivf,simplewiki_a25000_w100,97579,384,10,0.5795,0.04585398710332811,0.07876456656958906,20205.30171113205,6.0272771249874495,151.057248,697.075,nlist=256 nprobe=1
ivf,simplewiki_a25000_w100,97579,384,10,0.7301,0.07279199780896306,0.146470483741723,12246.17475308961,6.0272771249874495,151.057248,1156.444,nlist=256 nprobe=2
ivf,simplewiki_a25000_w100,97579,384,10,0.8399,0.13245848822407424,0.27514167595654726,6630.884903152931,6.0272771249874495,151.057248,2081.875,nlist=256 nprobe=4
ivf,simplewiki_a25000_w100,97579,384,10,0.9096,0.24027051404118538,0.5198913539061323,3609.3005013918346,6.0272771249874495,151.057248,3866.981,nlist=256 nprobe=8
ivf,simplewiki_a25000_w100,97579,384,10,0.9549,0.46787451719865203,1.0851357423234729,1681.3374233470072,6.0272771249874495,151.057248,7213.604,nlist=256 nprobe=16
ivf,simplewiki_a25000_w100,97579,384,10,0.9804,1.2350625183898956,1.8985142960445955,740.3696752960158,6.0272771249874495,151.057248,13562.567,nlist=256 nprobe=32
